MJD,mag,mag_err
60446.91717199981,13.353,0.011
60447.95056999987,13.53,0.02
60448.89258199977,13.383,0.024
60452.94634100003,13.239,0.011
60453.96151799988,13.171,0.01
60454.90213799989,13.134,0.009
60454.96298999991,13.18,0.02
60455.87421000004,13.115,0.01
60455.88046000013,13.097,0.008
60455.88664000016,13.123,0.009
60455.89293000009,13.125,0.008
60455.89922000002,13.133,0.008
60455.90546000004,13.121,0.008
60455.911760000046,13.131,0.008
60455.917969999835,13.113,0.009
60455.924199999776,13.118,0.008
60455.93035000004,13.111,0.008
60455.9365699999,13.115,0.008
60455.94284000015,13.109,0.008
60455.94909999985,13.121,0.009
60455.955289999954,13.099,0.008
60455.96149000013,13.123,0.009
60455.967780000065,13.125,0.009
60455.97397000017,13.128,0.011
60455.98020000011,13.124,0.011
60455.986980000045,13.121,0.01
60455.997400000226,13.137,0.012
60456.00475999992,13.155,0.012
60456.01097999979,13.106,0.012
60456.017270000186,13.087,0.013
60456.02351999981,13.088,0.014
60456.02988999989,13.103,0.015
60457.88790899981,13.007,0.009
60461.872349999845,12.944,0.02
60461.87826000014,12.966,0.014
60461.88419000013,12.928,0.011
60461.89011000004,12.957,0.01
60461.896029999945,12.937,0.008
60461.90195999993,12.945,0.009
60461.90787000023,12.947,0.008
60461.91380000021,12.95,0.008
60461.9197300002,12.957,0.008
60461.92564000003,12.961,0.008
60461.93155999994,12.954,0.008
60461.93746999977,12.955,0.008
60461.94340999983,12.938,0.008
60461.94933999982,12.952,0.008
60461.95526000019,12.95,0.007
60461.9611800001,12.965,0.007
60461.96708999993,12.939,0.008
60461.97301999992,12.939,0.014
60461.978930000216,12.967,0.01
60461.986539999954,12.937,0.008
60461.99245999986,12.964,0.009
60461.99838999985,12.961,0.009
60462.00431000022,12.949,0.009
60462.01024999982,12.948,0.011
60462.016160000116,12.93,0.011
60463.892310000025,12.97,0.012
60463.89822999993,12.967,0.008
60463.90415999992,12.964,0.008
60463.9100899999,12.985,0.008
60463.9160000002,12.977,0.008
60463.92192000011,12.97,0.008
60463.92782999994,12.979,0.009
60463.93375999993,12.996,0.009
60463.94185000006,13.004,0.01
60463.96048500016,12.959,0.008
60463.993209999986,12.98,0.011
60463.99915000005,12.972,0.012
60464.024590000045,12.995,0.02
60466.970974999946,13.054,0.013
60467.89709400013,13.163,0.011
60469.00296099996,13.242,0.01
60469.982931999955,13.302,0.01
60471.91072099982,13.477,0.011
60475.96242000023,13.71,0.03
60480.90673399996,13.953,0.022
60482.901610999834,14.087,0.025
60483.90926600015,14.092,0.018
60486.899493000004,14.215,0.023
60488.91848400002,14.267,0.016
60489.9098100001,14.36,0.05
60497.89716099994,14.459,0.026
60501.896035000216,14.546,0.025
60503.908365999814,14.628,0.02
60506.90284699993,14.687,0.036
60510.90895699989,14.755,0.029
60518.87947899988,14.836,0.038
60519.88022699999,14.936,0.04
60527.866090999916,15.041,0.045
