MJD,mag,mag_err
60446.912895000074,13.611,0.011
60448.888305999804,13.729,0.03
60452.9441829999,13.54,0.013
60453.9572399999,13.466,0.013
60454.89786100015,13.409,0.009
60455.87117999978,13.333,0.012
60455.877369999886,13.359,0.01
60455.88357000006,13.358,0.01
60455.88988000015,13.368,0.01
60455.89607999986,13.332,0.008
60455.9024100001,13.367,0.009
60455.90867999988,13.351,0.008
60455.914880000055,13.351,0.009
60455.921140000224,13.351,0.008
60455.92729000002,13.353,0.008
60455.93348000012,13.349,0.009
60455.9397499999,13.367,0.008
60455.946030000225,13.347,0.008
60455.95227999985,13.369,0.008
60455.958430000115,13.365,0.009
60455.96468000021,13.353,0.009
60455.97091000015,13.352,0.01
60455.97710999986,13.365,0.01
60455.98392000003,13.38,0.01
60455.990100000054,13.366,0.014
60456.00167000014,13.374,0.011
60456.00792999985,13.358,0.011
60456.014169999864,13.357,0.013
60456.020459999796,13.354,0.012
60456.02682999987,13.367,0.013
60457.883626000024,13.265,0.011
60461.87531000003,13.189,0.021
60461.88124000002,13.189,0.016
60461.887159999926,13.197,0.014
60461.893079999834,13.22,0.011
60461.89900999982,13.205,0.01
60461.90493000019,13.195,0.009
60461.9108500001,13.241,0.009
60461.91678000009,13.227,0.008
60461.92268999992,13.22,0.008
60461.92860999983,13.202,0.009
60461.934520000126,13.214,0.009
60461.94046000019,13.205,0.008
60461.946380000096,13.211,0.008
60461.95231000008,13.221,0.008
60461.95822999999,13.229,0.008
60461.96413999982,13.217,0.008
60461.97006999981,13.216,0.008
60461.975980000105,13.23,0.008
60461.98358999984,13.235,0.008
60461.98951000022,13.214,0.008
60461.995430000126,13.247,0.009
60462.00136000011,13.251,0.009
60462.00730000017,13.243,0.011
60462.013210000005,13.239,0.011
60462.99097000016,13.171,0.0079
60463.88933000015,13.266,0.01
60463.89527999982,13.254,0.01
60463.90120999981,13.264,0.01
60463.90713000018,13.27,0.009
60463.91305000009,13.268,0.008
60463.91897,13.287,0.009
60463.92487999983,13.291,0.008
60463.930809999816,13.284,0.009
60463.936720000114,13.262,0.009
60463.94582000002,13.267,0.009
60463.956207000185,13.264,0.009
60463.990259999875,13.295,0.013
60463.996199999936,13.286,0.011
60464.002119999845,13.288,0.014
60466.96669899998,13.456,0.011
60467.89281600015,13.569,0.015
60468.998685,13.65,0.012
60469.97865599999,13.73,0.011
60471.23126999987,13.922,0.037
60471.90644299984,13.923,0.014
60472.902639999986,14.066,0.015
60480.90245599998,14.526,0.031
60482.89733499987,14.489,0.031
60483.904988999944,14.596,0.024
60486.89521300001,14.761,0.04
60488.91420800006,14.771,0.023
60497.89288499998,14.962,0.043
60500.898000000045,15.43,0.02
60501.89175899979,15.049,0.038
60503.90408999985,15.091,0.026
60506.898570000194,15.138,0.043
60510.90467899991,15.219,0.036
60518.87520800019,15.381,0.054
60518.877321999986,15.344,0.049
60519.87595100002,15.335,0.059
60527.86181600019,15.454,0.086
