MJD,mag,mag_err
60442.82226,14.566,0.022
60446.25527,13.733,0.017
60448.21995,13.924,0.018
60450.28317,13.900,0.019
60452.23962,13.921,0.022
60455.29893,13.605,0.017
60456.27101,13.610,0.016
60456.4233,13.547,0.014
60458.30979,13.571,0.016
60459.27972,13.496,0.014
60460.27971,13.516,0.014
60461.38395,13.491,0.013
60461.86333,13.581,0.014
60462.36366,13.516,0.013
60463.3601,13.587,0.013
60464.35954,13.726,0.014
60466.35457,13.967,0.016
60467.36578,13.948,0.016
60468.3498,14.123,0.017
60469.3463,14.242,0.018
60470.34397,14.428,0.02
60470.78029,14.544,0.021
60471.36463,14.634,0.022
60472.34268,14.729,0.022
60473.31294,14.794,0.022
60478.23274,15.310,0.055
60481.29356,15.224,0.062
60483.78604,15.500,0.087
60485.76149,15.525,0.05
60486.30806,15.683,0.044
60486.77303,15.603,0.04
60487.29622,15.565,0.038
60488.76944,15.771,0.045
60489.99479,15.641,0.047
60492.28748,15.629,0.037
60495.2796,15.677,0.04
60499.2732,15.806,0.042
60503.15274,16.113,0.077
60507.16867,15.944,0.079
60516.97861,16.077,0.081
60518.97395,16.073,0.092
