MJD,mag,mag_err
60447.331743,13.7,0.003
60447.342663,13.7,0.003
60447.346357,13.699,0.003
60447.351901,13.713,0.003
60450.37601,13.732,0.005
60450.379824,13.901,0.032
60450.385806,13.824,0.087
60450.391155,13.728,0.031
60450.394353,13.629,0.005
60450.395708,13.632,0.004
60450.401133,13.628,0.004
60450.41237,13.659,0.021
60451.355019,13.612,0.004
60451.35548,13.607,0.004
60451.35779,13.618,0.011
60451.358251,13.611,0.007
60451.366734,13.614,0.007
60451.374405,13.605,0.009
60451.381603,13.58,0.014
60452.35192,13.554,0.003
60452.354695,13.554,0.003
60452.362916,13.564,0.003
60452.372951,13.56,0.003
60453.390671,13.482,0.005
60455.344159,13.395,0.005
60455.34775,13.383,0.004
60455.352472,13.373,0.004
60455.353859,13.35,0.004
60455.355243,13.392,0.005
60455.360869,13.382,0.003
60455.364075,13.375,0.005
60455.371691,13.376,0.004
60456.40369,13.172,0.044
60456.406937,13.353,0.023
60456.413405,13.334,0.018
60456.423573,13.307,0.02
60458.349059,13.226,0.003
60459.34766,13.221,0.003
60459.351939,13.199,0.006
60459.357474,13.215,0.007
60464.360477,13.195,0.002
60464.364568,13.196,0.002
60468.329292,13.405,0.003
60471.291933,13.651,0.003
60471.295165,13.659,0.003
60471.300333,13.644,0.003
60471.309609,13.615,0.003
60471.312005,13.65,0.003
60471.31533,13.612,0.003
60472.294985,13.702,0.003
60473.305704,13.754,0.003
60473.314368,13.736,0.003
60474.291671,13.819,0.003
60475.301005,13.925,0.003
60475.304721,13.912,0.003
60475.309939,13.91,0.003
60475.32011,13.895,0.003
60476.307774,13.966,0.004
60476.311008,13.955,0.004
60476.316562,13.955,0.004
60476.331499,13.963,0.004
60477.312018,14.0,0.004
60477.315182,14.016,0.004
60477.320611,14.009,0.004
60477.330912,14.002,0.004
60480.307639,14.163,0.004
60480.310875,14.163,0.004
60480.316073,14.182,0.005
60480.336337,14.174,0.004
60481.298357,14.197,0.006
60481.301725,14.211,0.028
60481.307222,14.215,0.005
60481.317016,14.213,0.008
60483.302176,14.319,0.005
60483.30541,14.317,0.005
60484.297461,14.333,0.005
60484.307348,14.352,0.005
60484.312474,14.315,0.005
60484.315253,14.344,0.005
60485.300464,14.336,0.005
60485.303694,14.339,0.005
60485.309591,14.344,0.005
60485.320893,14.348,0.006
60486.292227,14.377,0.005
60486.295847,14.39,0.005
60486.301438,14.391,0.005
60486.312455,14.381,0.005
60487.304023,14.43,0.004
60487.306859,14.449,0.004
60487.314163,14.44,0.004
60487.324432,14.425,0.004
60488.265791,14.453,0.004
60488.268565,14.446,0.004
60488.28427,14.455,0.004
60488.290995,14.464,0.004
60489.303519,14.437,0.005
60489.306768,14.457,0.005
60489.312193,14.468,0.005
60489.322597,14.468,0.005
60492.287415,14.548,0.005
60492.29112,14.558,0.005
60492.297685,14.545,0.005
60492.307503,14.561,0.005
60494.29948,14.588,0.006
60494.302643,14.583,0.005
60494.308218,14.602,0.005
60494.319983,14.597,0.005
60495.272879,14.628,0.005
60495.276579,14.643,0.005
60495.282223,14.657,0.005
60495.295209,14.664,0.005
60496.272385,14.668,0.005
60496.275625,14.659,0.005
60496.28117,14.676,0.005
60496.295614,14.674,0.005
60497.292322,14.679,0.006
60497.295489,14.67,0.006
60497.300909,14.675,0.006
60497.312682,14.654,0.006
60498.276009,14.681,0.005
60498.279645,14.679,0.005
60498.285084,14.681,0.005
60498.298703,14.683,0.005
60499.257608,14.722,0.005
60499.261069,14.731,0.005
60499.266767,14.72,0.005
60499.28931,14.728,0.005
60500.252593,14.769,0.006
60500.255827,14.752,0.006
60500.265218,14.755,0.005
60500.267991,14.773,0.006
60500.273778,14.746,0.005
60500.274703,14.751,0.005
60500.287666,14.73,0.005
60501.259391,14.854,0.008
60501.262558,14.773,0.007
60501.264937,14.748,0.006
60501.268103,14.772,0.006
60501.268555,15.033,0.011
60501.27353,14.741,0.006
60501.284063,14.753,0.006
60501.29056,14.733,0.006
60503.251039,14.813,0.007
60503.254273,14.818,0.006
60503.261029,14.817,0.005
60503.285659,14.825,0.006
60504.255979,14.828,0.008
60504.257823,14.826,0.007
60504.259211,14.795,0.027
60504.261522,14.849,0.012
60504.264761,14.828,0.007
60504.267531,14.837,0.006
60504.277737,14.841,0.006
60504.279225,14.817,0.006
60505.294648,14.829,0.007
60505.298265,14.837,0.008
60505.301879,14.867,0.008
60505.303691,14.815,0.008
60505.305047,14.83,0.007
60505.310975,14.867,0.008
60505.31605,14.91,0.008
60505.321032,14.881,0.008
60507.256427,14.904,0.007
60507.260124,14.9,0.007
60507.27031,14.922,0.007
60507.276316,14.915,0.007
60508.287674,14.919,0.007
60508.291394,14.924,0.007
60508.296957,14.916,0.007
60508.307198,14.93,0.007
60509.268963,14.936,0.008
60509.272127,14.91,0.008
60509.277679,14.934,0.008
60509.288338,14.933,0.008
60510.266407,14.918,0.008
60510.269574,14.936,0.008
60510.275091,14.933,0.008
60510.285046,14.939,0.008
60511.31344,14.963,0.009
60511.316754,15.02,0.009
60511.322507,15.003,0.009
60511.332446,14.995,0.011
60512.256283,15.012,0.01
60512.259056,15.008,0.009
60512.269219,15.008,0.009
60512.274764,15.0,0.009
60513.258625,15.013,0.01
60513.262246,15.025,0.01
60513.267669,14.997,0.01
60513.278776,15.0,0.011
60514.258573,15.022,0.008
60514.262199,15.054,0.007
60514.267633,15.046,0.007
60514.279545,15.039,0.008
60515.29135,15.084,0.007
60515.294584,15.072,0.007
60515.302686,15.079,0.007
60515.315598,15.095,0.01
60518.257694,15.109,0.007
60518.261316,15.121,0.008
60518.266752,15.135,0.008
60518.278634,15.106,0.008
60519.278043,15.137,0.006
60519.281277,15.159,0.007
60519.287309,15.156,0.007
60519.29887,15.154,0.007
60520.273729,15.177,0.008
60520.276522,15.155,0.008
60520.282064,15.164,0.008
60520.287719,15.15,0.008
60520.290513,15.17,0.008
60520.291898,15.167,0.008
60520.296525,15.171,0.008
60520.317205,15.174,0.009
60521.255709,15.166,0.01
60521.259326,15.169,0.01
60521.264752,15.145,0.013
60521.276584,15.112,0.017
60521.294994,15.174,0.019
60521.297779,15.156,0.014
60521.304381,15.138,0.018
60521.324704,15.225,0.061
60522.250796,15.202,0.014
60522.253958,15.189,0.013
60522.26263,14.953,0.092
60522.271236,15.198,0.04
60522.272603,15.068,0.062
60524.251385,15.25,0.008
60524.254616,15.264,0.008
60524.260156,15.222,0.007
60524.272643,15.225,0.008
60525.249129,15.26,0.052
60525.252294,15.164,0.052
60525.271835,15.245,0.021
60526.248253,15.254,0.014
60526.251419,15.292,0.012
60526.258654,15.263,0.008
60526.268647,15.305,0.009
60527.277129,15.312,0.008
60527.280864,15.337,0.009
60527.287843,15.296,0.009
60527.297892,15.292,0.009
