MJD,mag,mag_err
60458.2952,16.258,0.072
60462.22066,15.613,0.04
60464.25992,15.480,0.037
60477.20247,15.905,0.058
60486.17456,15.668,0.052
60486.99263,15.998,0.047
60488.17797,15.661,0.045
60490.2485,15.734,0.043
60491.26429,15.271,0.038
60492.096,15.951,0.043
60494.00917,15.904,0.044
60496.14141,15.976,0.044
60498.11958,16.074,0.047
60499.25006,16.018,0.047
60502.22334,16.073,0.05
60513.73352,16.394,0.066
60521.82656,16.400,0.054
60522.82288,16.285,0.057
60527.80892,16.314,0.062
60528.15859,16.161,0.056
60530.05922,16.704,0.071
60531.04846,16.493,0.069
60532.04836,16.500,0.075
60536.03466,16.667,0.092
