MJD,mag,mag_err
60463.132782,15.284,0.009
60463.135959,15.314,0.009
60463.141879,15.285,0.009
60463.152512,15.309,0.009
60488.849327,15.613,0.011
60488.854534,15.592,0.011
60488.857752,15.599,0.01
60488.86808,15.604,0.012
60492.820047,15.646,0.011
60492.822848,15.63,0.01
60492.828878,15.645,0.011
60492.839189,15.64,0.011
60496.784987,15.685,0.011
60496.795608,15.618,0.01
60496.798765,15.704,0.011
60496.804627,15.664,0.01
60519.041238,15.906,0.013
60519.044393,15.904,0.012
60519.049902,15.875,0.013
60519.061839,15.873,0.013
