MJD,mag,mag_err
60458.398073,16.181,0.031
60458.401303,16.073,0.021
60458.42731,16.174,0.026
60459.149072,15.873,0.017
60459.274765,15.823,0.045
60459.278866,15.78,0.08
60460.393187,15.513,0.01
60460.396011,15.546,0.009
60460.40189,15.557,0.011
60460.417215,15.523,0.01
60462.363394,15.321,0.009
60462.366699,15.334,0.008
60462.373306,15.32,0.008
60462.387585,15.329,0.008
60464.36725,15.196,0.007
60464.370081,15.228,0.008
60464.377484,15.192,0.008
60464.389121,15.191,0.007
60466.361875,15.223,0.008
60466.364702,15.21,0.008
60466.370907,15.233,0.008
60466.381511,15.206,0.008
60468.362874,15.238,0.009
60468.366136,15.236,0.01
60468.375032,15.206,0.009
60468.392937,15.23,0.009
60469.351864,15.29,0.008
60469.355098,15.274,0.008
60469.360251,15.253,0.008
60469.377639,15.285,0.008
60470.370299,15.292,0.008
60470.375561,15.272,0.008
60470.391464,15.272,0.008
60472.397952,15.271,0.009
60472.401117,15.27,0.01
60472.409521,15.276,0.01
60472.420234,15.278,0.01
60474.336486,15.258,0.008
60474.339721,15.275,0.008
60474.344842,15.264,0.009
60474.349214,15.271,0.008
60474.352516,15.271,0.008
60474.359179,15.258,0.008
60474.360192,15.266,0.008
60474.381532,15.272,0.009
60476.320028,15.221,0.009
60476.323111,15.222,0.01
60476.325308,15.271,0.012
60476.328308,15.253,0.01
60476.338559,15.233,0.01
60476.790822,15.337,0.02
60476.793553,15.398,0.034
60476.796731,15.252,0.017
60476.802172,15.196,0.017
60476.821937,15.255,0.023
60476.82511,15.45,0.026
60476.83403,15.459,0.023
60476.868891,15.535,0.023
60482.341309,15.271,0.012
60482.344658,15.272,0.013
60482.347017,15.232,0.012
60482.354939,15.235,0.012
60482.363593,15.246,0.011
60482.36737,15.284,0.013
60482.370267,15.264,0.012
60482.377844,15.23,0.012
60484.363126,15.244,0.011
60484.366292,15.215,0.01
60484.372624,15.272,0.012
60484.385864,15.266,0.012
60484.852184,15.288,0.016
60484.855544,15.285,0.015
60484.861041,15.254,0.016
60484.872593,15.278,0.018
60486.345394,15.263,0.008
60486.350718,15.273,0.008
60486.360908,15.275,0.009
60486.36538,15.231,0.008
60487.140032,15.252,0.011
60487.143227,15.301,0.01
60487.149244,15.367,0.013
60487.160183,15.358,0.015
60488.329617,15.249,0.008
60488.351799,15.256,0.008
60488.354963,15.241,0.009
60488.365989,15.239,0.008
60491.070111,15.15,0.009
60491.073278,15.196,0.009
60491.081894,15.164,0.01
60491.093228,15.1,0.009
60492.381608,15.257,0.009
60492.384775,15.291,0.009
60492.392111,15.268,0.009
60492.402693,15.277,0.009
60494.294643,15.307,0.008
60494.300686,15.307,0.009
60494.303514,15.276,0.008
60494.314773,15.306,0.009
60495.074257,15.307,0.012
60495.081584,15.284,0.01
60495.084744,15.3,0.011
60495.1066,15.316,0.011
60496.325675,15.3,0.009
60496.328842,15.281,0.01
60496.334282,15.303,0.008
60496.353983,15.307,0.009
60498.293742,15.315,0.008
60498.296702,15.293,0.008
60498.304965,15.323,0.008
60498.324911,15.316,0.008
60499.061766,15.275,0.009
60499.064939,15.278,0.01
60499.07175,15.282,0.009
60499.081745,15.268,0.009
60500.300489,15.304,0.01
60500.303657,15.295,0.009
60500.30954,15.328,0.009
60500.323529,15.283,0.01
60502.268543,15.315,0.008
60502.271778,15.306,0.008
60502.285284,15.307,0.008
60502.289639,15.325,0.008
60502.290564,15.319,0.008
60502.292478,15.34,0.008
60502.298597,15.347,0.008
60502.322067,15.325,0.008
60503.014857,15.046,0.011
60503.018493,15.315,0.012
60503.02529,14.952,0.011
60503.028468,15.266,0.01
60503.031634,15.298,0.009
60503.035264,15.001,0.011
60503.037517,15.32,0.01
60503.047486,15.322,0.01
60506.263315,15.336,0.011
60506.298119,15.362,0.012
60506.312769,15.342,0.011
60506.337535,15.353,0.011
60507.031312,15.323,0.011
60507.034925,15.355,0.013
60507.04648,15.327,0.013
60507.056418,15.367,0.013
60508.320821,15.33,0.013
60508.323852,15.317,0.013
60508.329291,15.377,0.015
60508.34542,15.353,0.014
60510.307153,15.358,0.012
60510.310853,15.323,0.011
60510.317781,15.375,0.013
60510.328252,15.366,0.012
60512.832408,15.341,0.016
60512.836041,15.361,0.014
60512.846004,15.353,0.014
60512.851458,15.389,0.016
60514.33802,15.38,0.014
60514.341336,15.399,0.013
60514.348406,15.319,0.012
60514.358893,15.418,0.013
60515.032934,15.389,0.012
60515.03839,15.378,0.013
60515.061548,15.386,0.013
60516.800897,15.378,0.01
60516.804089,15.381,0.009
60516.809591,15.387,0.01
60518.258658,15.396,0.009
60518.263937,15.382,0.009
60518.268091,15.377,0.008
60518.278259,15.374,0.01
60520.265324,15.401,0.011
60520.268491,15.386,0.013
60520.278651,15.376,0.01
60520.287489,15.394,0.012
60524.255379,15.39,0.009
60524.258996,15.423,0.01
60524.264418,15.387,0.009
60524.267585,15.397,0.01
60524.270868,15.413,0.01
60524.274482,15.356,0.01
60524.276817,15.44,0.011
60524.286762,15.524,0.015
60524.737569,15.453,0.01
60524.740955,15.411,0.011
60524.746967,15.419,0.01
60524.755174,15.402,0.011
60524.757446,15.413,0.011
60524.758818,15.449,0.012
60524.764269,15.43,0.012
60524.780736,15.401,0.011
60526.244351,15.485,0.015
60526.247236,15.447,0.013
60526.254913,15.472,0.01
60526.266896,15.436,0.01
60528.253365,15.448,0.011
60528.256985,15.453,0.01
60528.262409,15.445,0.01
60528.27248,15.432,0.011
60528.76741,15.479,0.011
60528.770615,15.46,0.01
60528.776076,15.447,0.011
60528.800719,15.478,0.012
60532.244236,15.527,0.02
60532.246949,15.562,0.016
60532.247401,15.291,0.018
60532.250114,15.521,0.013
60532.252523,15.521,0.012
60532.259898,15.511,0.012
60532.264573,15.496,0.011
60532.26969,15.493,0.012
60536.244504,15.568,0.015
60536.247667,15.567,0.014
60536.255349,15.515,0.013
60536.267113,15.587,0.014
60536.723703,15.576,0.014
60536.727311,15.62,0.015
60536.733174,15.599,0.014
60536.747645,15.555,0.015
60540.254168,15.673,0.016
60540.25733,15.675,0.018
60540.26386,15.645,0.014
60540.275376,15.66,0.021
60540.732926,15.683,0.02
60540.736081,15.679,0.021
60540.746015,15.657,0.019
60540.752337,15.673,0.021
60542.27063,15.729,0.017
60542.273601,15.753,0.019
60542.27874,15.755,0.019
60542.289298,15.749,0.019
60544.741771,15.813,0.017
60544.74538,15.788,0.015
60544.759422,15.782,0.017
60544.764887,15.761,0.015
60554.976586,16.44,0.037
60554.979741,16.463,0.034
60554.986951,16.34,0.025
60554.997013,16.297,0.025
