MJD,mag,mag_err
60530.173715,16.42,0.04
60528.19316,16.404,0.03
60520.179259,16.269,0.033
60517.190694,16.233,0.033
60515.192477,16.164,0.031
60513.215289,16.129,0.037
60511.225255,16.109,0.029
60494.228403,15.883,0.032
60490.226991,15.867,0.031
60488.231574,15.832,0.029
60486.248252,15.768,0.042
60484.258125,15.708,0.03
60482.18941,15.672,0.022
60480.233009,15.611,0.025
60477.263692,15.518,0.029
60475.211863,15.492,0.023
60473.22875,15.457,0.022
60471.230289,15.445,0.029
60469.226319,15.385,0.031
60464.290255,15.328,0.025
60462.291018,15.355,0.021
60460.312917,15.461,0.024
60460.312917,15.461,0.024
60458.248796,15.877,0.038
