MJD,mag,mag_err
60530.217789,15.545,0.031
60524.224201,15.413,0.041
60520.214849,15.389,0.026
60515.26662,15.363,0.028
60513.256863,15.361,0.028
60511.277639,15.348,0.027
60504.235567,15.315,0.031
60502.242616,15.274,0.037
60494.233854,15.262,0.034
60490.269016,15.246,0.035
60488.297627,15.245,0.03
60484.332106,15.18,0.039
60482.295069,15.225,0.029
60480.367789,15.179,0.021
60477.326944,15.175,0.027
60475.249201,15.205,0.037
60473.249826,15.237,0.022
60469.275799,15.245,0.029
60462.362326,15.294,0.025
60458.338391,16.095,0.05
