MJD,mag,mag_err
60505.055321,15.058,0.009
60505.058552,15.05,0.01
60505.064039,15.062,0.009
60505.078734,15.069,0.011
60506.01031,14.886,0.009
60506.013929,14.947,0.009
60506.048932,14.91,0.008
60506.070045,14.867,0.011
60506.075764,14.793,0.013
60506.084039,14.813,0.012
60506.084941,14.872,0.01
60506.087208,14.877,0.016
60506.088109,14.878,0.011
60506.097273,14.876,0.011
60506.104351,15.08,0.023
60508.963954,14.399,0.008
60508.967748,14.454,0.007
60508.974441,14.618,0.008
60508.986012,14.651,0.007
60509.974845,14.628,0.006
60509.978214,14.626,0.007
60509.984373,14.593,0.007
60509.995437,14.64,0.007
60512.992222,14.586,0.008
60512.995843,14.559,0.008
60513.015623,14.589,0.008
60513.021994,14.597,0.009
60513.975268,14.556,0.006
60513.978578,14.548,0.006
60513.985553,14.556,0.007
60513.997592,14.569,0.007
60515.733052,14.576,0.006
60515.736274,14.552,0.006
60515.74279,14.561,0.006
60515.752691,14.576,0.007
60522.714717,14.596,0.007
60522.718411,14.586,0.006
60522.724815,14.612,0.006
60522.734767,14.591,0.006
60523.743599,14.574,0.007
60523.746909,14.584,0.007
60523.75205,14.609,0.007
60523.76223,14.59,0.007
60527.73621,14.643,0.007
60527.739383,14.602,0.007
60527.747265,14.614,0.007
60527.751372,14.623,0.007
60527.757349,14.629,0.008
60527.760091,14.613,0.007
60534.745198,14.703,0.041
60534.748462,14.786,0.059
60534.755713,14.654,0.034
60534.766239,14.847,0.096
60536.968456,14.763,0.011
60536.971268,14.726,0.009
60536.977706,14.591,0.01
60536.978606,14.736,0.008
60536.987823,14.734,0.009
60536.990146,14.73,0.008
60538.714496,14.772,0.018
60538.718101,14.71,0.013
60538.723518,14.747,0.013
60538.734373,14.728,0.012
60539.714833,14.806,0.031
60539.717988,14.754,0.04
60539.724327,14.789,0.013
60539.734382,14.762,0.011
60634.330625,17.097,0.052
60634.34802,17.236,0.056
60634.352184,17.291,0.069
60634.35727,17.029,0.073
60637.329305,17.272,0.095
60637.339072,17.159,0.054
60637.349786,17.244,0.058
60639.068433,17.173,0.064
60639.073953,17.29,0.061
