MJD,mag,mag_err
60502.959668,17.552,0.095
60502.971055,17.701,0.084
60506.967729,17.572,0.06
60506.970941,17.355,0.05
60506.976351,17.393,0.062
60506.988968,17.372,0.068
60508.282522,17.4,0.081
60508.285715,17.24,0.073
60508.304303,17.372,0.098
60512.773255,17.148,0.096
60514.248319,17.254,0.065
60514.251091,17.38,0.062
60514.260541,17.242,0.041
60514.277216,17.375,0.06
60514.967836,17.237,0.063
60514.973303,17.31,0.053
60514.976469,17.244,0.052
60514.986944,17.533,0.07
60516.708827,17.328,0.085
60516.715168,17.349,0.062
60516.725261,17.426,0.057
60518.250012,17.267,0.081
60518.253176,17.389,0.075
60518.258601,17.312,0.054
60518.268563,17.299,0.059
