MJD,mag,mag_err
60513.93912,15.483,0.057
60515.22215,15.165,0.039
60516.25567,14.882,0.028
60520.18877,14.770,0.023
60520.97685,14.807,0.025
60521.17087,14.768,0.024
60521.98084,14.878,0.027
60527.82384,14.858,0.025
60528.22985,14.873,0.026
60528.84621,14.896,0.027
60529.81354,14.908,0.026
60530.22772,14.979,0.029
60531.22318,14.907,0.026
60532.22064,14.972,0.028
60533.21673,15.012,0.028
60534.21321,14.964,0.028
60536.19819,15.024,0.05
60537.20544,15.229,0.062
60543.9911,15.347,0.034
60546.01703,15.524,0.042
60547.02606,15.326,0.032
60548.07228,15.455,0.033
60549.0787,15.471,0.034
60550.15698,15.513,0.036
60552.91745,15.565,0.036
60554.14138,15.734,0.038
60555.14821,15.480,0.036
60556.05088,15.497,0.034
60557.07065,15.702,0.039
60560.02558,15.755,0.037
60561.08321,15.676,0.04
60568.06598,15.748,0.055
60578.98232,15.935,0.05
60581.04875,15.825,0.047
60584.79049,15.800,0.049
60586.05359,15.893,0.045
60587.06545,16.040,0.05
60593.03205,16.254,0.073
60603.0076,16.504,0.069
60604.00769,16.392,0.057
60606.01649,16.831,0.085
60608.01137,16.508,0.072
60608.76211,16.485,0.07
