MJD,mag,mag_err
60520.104169,14.586,0.006
60520.107355,14.575,0.006
60520.112847,14.573,0.006
60520.135495,14.463,0.007
60528.114122,14.69,0.006
60528.117334,14.7,0.006
60528.122523,14.69,0.007
60528.135068,14.691,0.007
60532.153667,14.747,0.007
60532.156953,14.744,0.008
60532.162163,14.774,0.007
60532.1736,14.734,0.007
60553.792877,15.066,0.009
60553.813705,15.057,0.009
60553.816876,15.075,0.009
60553.845345,15.073,0.009
60576.031259,15.243,0.009
60576.034582,15.235,0.008
60576.041041,15.237,0.01
60576.051129,15.236,0.009
60587.989272,15.246,0.028
60587.992524,15.202,0.034
60587.993887,15.339,0.032
60587.997171,15.454,0.051
60588.002291,15.331,0.035
60588.011803,15.389,0.02
60588.014559,15.371,0.013
60588.017311,15.348,0.016
60708.273943,18.744,0.17
60708.293864,18.527,0.163
