MJD,mag,mag_err
60513.865534,15.643,0.018
60513.869188,15.639,0.022
60513.87602,15.673,0.021
60513.88616,15.558,0.018
60516.113319,14.755,0.011
60516.116533,14.789,0.012
60516.116983,14.909,0.014
60516.120192,14.909,0.013
60516.122011,14.851,0.01
60516.125758,14.853,0.014
60516.138151,14.919,0.011
60516.142739,14.809,0.012
60521.853574,14.516,0.007
60521.856362,14.504,0.006
60521.8615,14.511,0.007
60521.873109,14.508,0.006
60525.836718,14.519,0.007
60525.839984,14.508,0.007
60525.846034,14.511,0.007
60525.85673,14.543,0.007
60529.835951,14.496,0.007
60529.838727,14.496,0.007
60529.844258,14.5,0.007
60529.854774,14.503,0.007
60536.092332,14.523,0.007
60536.095528,14.539,0.007
60536.101062,14.532,0.007
60536.111018,14.543,0.008
60537.825146,14.446,0.014
60537.830192,14.456,0.016
60537.839565,14.472,0.011
60537.840466,14.511,0.01
60537.842724,14.491,0.013
60537.843626,14.518,0.013
60537.84994,14.507,0.014
60537.871913,14.532,0.016
60541.871725,14.578,0.011
60541.874882,14.574,0.009
60541.88029,14.557,0.009
60541.900185,14.584,0.012
60544.024529,14.447,0.007
60544.028482,14.454,0.007
60544.051731,14.449,0.009
60544.054493,14.617,0.008
60544.05855,14.627,0.008
60544.071743,14.451,0.008
60544.073095,14.606,0.009
60544.08961,14.629,0.009
60545.808675,14.611,0.009
60545.811831,14.561,0.009
60545.81927,14.596,0.008
60545.829324,14.579,0.008
60545.980048,14.614,0.009
60545.985455,14.637,0.008
60545.991992,14.669,0.008
60545.992443,14.643,0.007
60545.996541,14.644,0.008
60546.017914,14.656,0.009
60546.01847,14.646,0.008
60546.0385,14.629,0.008
60547.989534,14.465,0.008
60547.99314,14.457,0.008
60547.994491,14.619,0.007
60547.997863,14.627,0.007
60547.999214,14.31,0.008
60548.022801,14.628,0.007
60548.024152,14.447,0.008
60548.035989,14.624,0.007
60551.00277,14.729,0.01
60551.027216,14.704,0.008
60551.030371,14.675,0.008
60551.050396,14.68,0.012
60552.011052,14.675,0.009
60552.014248,14.661,0.009
60552.027527,14.68,0.009
60552.720775,14.62,0.008
60552.724151,14.624,0.008
60552.730244,14.615,0.008
60552.750667,14.631,0.008
60556.038021,14.666,0.008
60556.043363,14.651,0.007
60556.046122,14.655,0.007
60556.058978,14.678,0.008
60560.053886,14.639,0.008
60560.057097,14.616,0.007
60560.06221,14.628,0.008
60560.079927,14.633,0.007
60564.00049,14.693,0.014
60564.003739,14.676,0.013
60564.009733,14.662,0.012
60564.020019,14.659,0.01
60565.750333,14.602,0.013
60565.753561,14.717,0.015
60565.763713,14.703,0.015
60565.768928,14.695,0.016
60565.776589,14.638,0.01
60565.786216,14.663,0.012
60568.0581,14.654,0.008
60568.061329,14.656,0.008
60568.073912,14.675,0.008
60568.089736,14.65,0.01
60569.780539,14.654,0.011
60569.783775,14.659,0.012
60569.788932,14.68,0.012
60569.800567,14.687,0.012
60573.733379,14.653,0.009
60573.736652,14.716,0.01
60573.741802,14.714,0.01
60573.747874,14.701,0.009
60573.751207,14.675,0.009
60573.753081,14.692,0.009
60573.756354,14.693,0.009
60573.766698,14.71,0.009
60577.736583,14.658,0.009
60577.740405,14.666,0.008
60577.747744,14.654,0.008
60577.757517,14.651,0.008
60585.734561,14.683,0.009
60585.737414,14.713,0.009
60585.744873,14.737,0.012
60585.754676,14.723,0.011
60600.024855,14.889,0.012
60600.028191,14.883,0.013
60600.033386,14.888,0.011
60600.056575,14.841,0.016
