MJD,mag,mag_err
60608.341836,17.642,0.079
60608.346077,17.817,0.087
60608.357002,17.817,0.086
60608.371065,17.812,0.146
60620.308284,19.047,0.266
60620.311028,19.037,0.242
60620.313934,18.784,0.217
60620.324798,19.058,0.255
60624.320829,19.175,0.274
60624.33067,19.323,0.251
60624.342266,19.473,0.338
60624.348473,19.568,0.412
60632.344068,19.361,0.497
60646.048216,19.627,0.311
60672.277513,19.956,0.436
60680.299766,19.901,0.429
60686.023631,17.247,0.044
60686.025463,17.199,0.045
60686.028254,17.079,0.042
60686.04767,17.294,0.049
60688.347247,16.116,0.041
60688.352273,16.062,0.039
60688.355487,16.033,0.035
60688.367774,16.121,0.031
60692.245089,15.211,0.011
60692.247866,15.161,0.011
60692.251512,15.172,0.012
60692.275515,15.148,0.011
60694.00898,15.052,0.008
60694.012185,15.073,0.008
60694.015346,15.039,0.009
60694.020783,15.068,0.009
60696.242695,14.846,0.008
60696.274835,14.735,0.008
60698.004479,14.698,0.012
60698.007651,14.684,0.01
60698.017363,14.7,0.006
60698.027129,14.704,0.007
60698.045641,14.718,0.007
60698.074169,14.713,0.007
60698.099099,14.745,0.007
60705.953505,14.226,0.005
60705.955783,14.204,0.005
