MJD,mag,mag_err
60920.074169,15.218,0.007
60920.076874,15.213,0.008
60920.081849,15.224,0.008
60920.087218,15.198,0.007
60936.296041,15.413,0.009
60936.297847,15.399,0.009
60936.301022,15.423,0.009
60936.306473,15.44,0.009
60940.604108,15.503,0.009
60940.61418,15.492,0.009
60940.624833,15.511,0.009
60940.628484,15.51,0.009
60942.272,15.483,0.01
60942.274764,15.465,0.011
60942.279306,15.45,0.01
60942.281126,15.485,0.01
60942.288082,15.491,0.01
60942.288536,15.277,0.01
60942.291324,15.508,0.011
60942.297521,15.514,0.011
60961.916737,15.625,0.011
60961.919489,15.63,0.011
60961.949892,15.678,0.011
60961.974785,15.65,0.01
60964.898989,15.72,0.011
60964.901749,15.686,0.011
60964.906883,15.774,0.011
60964.940198,15.686,0.01
60967.462605,15.756,0.014
60967.465346,15.723,0.012
60967.469001,15.791,0.016
60967.483095,15.739,0.009
60994.454955,16.57,0.02
60994.458134,16.571,0.019
60994.486435,16.485,0.018
60994.51396,16.565,0.019
60996.22178,16.635,0.021
60996.224984,16.717,0.021
