MJD,mag,mag_err
60894.330349,15.688,0.02
60894.333526,15.588,0.017
60894.351078,15.647,0.018
60894.358369,15.69,0.018
60895.131353,15.464,0.058
60895.138336,15.347,0.028
60895.140143,15.43,0.044
60895.153804,15.392,0.016
60897.327456,14.963,0.011
60897.330349,14.97,0.011
60897.342615,14.978,0.013
60897.348259,14.827,0.011
60904.016291,14.901,0.004
60904.024558,14.883,0.004
60904.032834,14.918,0.004
60904.041107,14.931,0.004
60915.107301,14.956,0.004
60915.115636,14.945,0.005
60915.123994,14.92,0.004
60915.132439,14.952,0.004
60921.594297,14.999,0.008
60921.59708,14.969,0.007
60921.60216,14.965,0.007
60921.618766,14.959,0.007
60921.627994,14.962,0.007
60922.555887,14.963,0.008
60922.560445,15.005,0.008
60922.566286,14.926,0.008
60922.584655,14.957,0.007
60924.264369,14.975,0.012
60924.267152,14.959,0.011
60924.272284,14.987,0.01
60924.283974,15.002,0.01
60925.497235,15.021,0.015
60925.500458,15.043,0.013
60925.505489,15.056,0.013
60925.515133,15.071,0.012
60928.528652,15.003,0.01
60928.531373,15.025,0.011
60928.545354,15.035,0.011
60928.552189,15.01,0.011
60929.044659,15.106,0.014
60929.047569,15.092,0.014
60929.059648,15.029,0.013
60929.065316,15.072,0.014
60932.046087,15.023,0.008
60932.049332,14.965,0.007
60932.05944,15.024,0.007
60932.065493,15.039,0.008
60933.509262,15.057,0.008
60933.518739,15.049,0.008
60933.528558,15.047,0.009
60933.531746,15.045,0.008
60934.497041,15.023,0.008
60934.49976,15.028,0.007
60934.506159,15.063,0.008
60934.516177,15.064,0.008
60937.546969,15.355,0.05
60937.549728,15.345,0.022
60937.555686,15.084,0.008
60937.565665,15.129,0.008
60938.012295,15.226,0.051
60938.015012,15.319,0.051
60938.040767,15.06,0.023
60940.992212,15.06,0.007
60940.994919,15.046,0.007
60941.026743,15.003,0.007
60941.032158,15.058,0.007
60943.542453,15.067,0.008
60943.544743,15.096,0.007
60943.545206,15.079,0.008
60943.547518,15.074,0.007
60943.550264,15.095,0.007
60943.554988,15.095,0.008
60943.561349,15.073,0.008
60943.563189,15.086,0.007
60944.017122,15.078,0.007
60944.023308,15.079,0.007
60944.026017,15.061,0.007
60944.036523,15.087,0.007
60949.537761,15.141,0.008
60949.539132,15.099,0.007
60949.544192,15.118,0.007
60949.549673,15.106,0.008
60951.51632,15.128,0.013
60951.524002,15.12,0.01
60951.525813,15.12,0.01
60951.532356,15.091,0.01
60952.498139,15.138,0.01
60952.499953,15.112,0.009
60952.5036,15.102,0.01
60952.509049,15.123,0.01
60952.942172,15.093,0.01
60952.945448,15.101,0.01
60952.950947,15.145,0.01
60952.97711,15.15,0.01
60954.214788,15.106,0.012
60954.217991,15.06,0.011
60954.223147,15.061,0.013
60954.246189,15.07,0.011
60954.388546,15.015,0.012
60955.526443,15.143,0.013
60955.529182,15.145,0.012
60955.535147,15.144,0.012
60955.541097,15.125,0.012
60955.989471,15.124,0.01
60955.993946,15.139,0.01
60955.996691,15.108,0.01
60956.006671,15.155,0.011
60957.491752,15.147,0.011
60957.49403,15.161,0.009
60957.497202,15.156,0.01
60957.513056,15.117,0.01
60958.504322,15.168,0.01
60958.507492,15.138,0.011
60958.510659,15.128,0.01
60958.517448,15.104,0.011
60960.250345,15.137,0.008
60960.253311,15.127,0.009
60960.256045,15.094,0.008
60960.26102,15.147,0.01
60961.490598,15.205,0.008
60961.493339,15.138,0.009
60961.496079,15.201,0.013
60961.511538,15.196,0.008
60963.466418,15.206,0.009
60963.473491,15.23,0.008
60963.476678,15.185,0.008
60963.48214,15.217,0.008
60964.488742,15.234,0.009
60964.491003,15.223,0.009
60964.494168,15.211,0.009
60964.507839,15.219,0.008
60964.642283,15.201,0.01
60966.201762,15.015,0.009
60966.204954,15.01,0.01
60966.210746,15.062,0.009
60966.244451,15.134,0.009
60969.466331,15.268,0.009
60969.469044,15.291,0.01
60969.472222,15.266,0.009
60969.477651,15.247,0.009
60972.182717,15.289,0.01
60972.18592,15.306,0.01
60972.209425,15.275,0.01
60972.212587,15.273,0.009
60976.940891,15.413,0.01
60976.95253,15.375,0.009
60976.954918,15.412,0.009
60976.957641,15.409,0.009
60978.192676,15.244,0.012
60978.196527,15.122,0.012
60978.201071,15.333,0.012
60978.210966,15.178,0.012
60981.442123,15.499,0.013
60981.44485,15.486,0.012
60981.44761,15.479,0.012
60981.453043,15.518,0.012
60982.44789,15.571,0.029
60982.452714,15.497,0.016
60982.456847,15.52,0.013
60982.51247,15.537,0.015
60982.90431,15.543,0.014
60982.90715,15.531,0.015
60982.940021,15.505,0.015
60982.943623,15.508,0.014
60984.180682,15.355,0.022
60984.183539,15.481,0.022
60984.186251,15.379,0.021
60984.191492,15.382,0.017
60985.44171,15.668,0.079
60985.443081,15.67,0.077
60985.445823,15.57,0.059
60985.450849,15.669,0.054
60987.470644,15.602,0.013
60987.473527,15.665,0.014
60987.506046,15.673,0.016
60987.512403,15.658,0.016
60988.921643,15.728,0.012
60988.923357,15.734,0.012
60988.926868,15.692,0.012
60988.962734,15.767,0.022
60990.235003,15.73,0.015
60990.237758,15.534,0.016
60990.243375,15.72,0.016
60990.279303,15.615,0.015
60991.415434,15.782,0.012
60991.418175,15.803,0.011
60991.44288,15.791,0.011
60991.469568,15.845,0.013
60994.985876,16.024,0.014
60994.989188,15.951,0.016
60994.994536,16.132,0.032
60995.02559,15.99,0.028
