MJD,mag,mag_err
60916.930579,18.269,0.082
60916.935994,18.316,0.097
60916.941017,18.254,0.082
60933.252334,16.386,0.021
60933.255963,16.383,0.019
60933.262938,16.408,0.023
60933.272949,16.391,0.02
60942.23514,17.017,0.037
60942.244606,17.089,0.043
60942.249208,17.092,0.04
60963.858437,18.178,0.076
60963.865533,18.199,0.087
60963.868272,18.242,0.088
60966.85332,18.351,0.088
60966.856489,18.352,0.093
60966.866247,18.224,0.096
60966.871689,18.326,0.089
60968.335757,18.335,0.086
60968.338519,18.446,0.089
60968.358399,18.321,0.092
60969.870231,18.331,0.096
60969.875201,18.405,0.094
60969.895968,18.386,0.091
60972.845847,18.445,0.089
60972.850879,18.617,0.088
60972.854062,18.408,0.093
