MJD,mag,mag_err
60918.931685,17.134,0.04
60918.934399,17.116,0.036
60918.939894,17.13,0.037
60918.964821,17.098,0.035
60919.9256,16.776,0.035
60919.928304,16.798,0.032
60919.931017,16.753,0.028
60919.957638,16.782,0.037
60920.423148,16.686,0.028
60920.425909,16.673,0.03
60920.429594,16.667,0.03
60920.456668,16.717,0.027
60920.468217,16.677,0.029
60921.264741,16.524,0.087
60921.26746,16.354,0.064
60921.273363,16.123,0.093
60921.926721,16.295,0.054
60921.928073,16.352,0.052
60921.930812,16.244,0.059
60921.959805,16.414,0.053
60928.44676,15.916,0.024
60928.44953,15.883,0.021
60928.455065,15.84,0.022
60928.4894,15.831,0.021
60931.047715,15.846,0.019
60931.06092,15.829,0.017
60931.089193,15.853,0.018
60931.101741,15.82,0.02
60932.450986,15.858,0.014
60932.453742,15.84,0.014
60932.458814,15.813,0.014
60932.494595,15.842,0.013
60936.966675,16.034,0.017
60936.970282,15.986,0.016
60936.991727,16.018,0.016
60937.019618,16.038,0.017
60942.913839,16.407,0.019
60942.91655,16.409,0.023
60942.921514,16.427,0.023
60943.363625,16.452,0.021
60943.364994,16.475,0.022
60943.387875,16.426,0.021
60943.403971,16.502,0.02
60945.16457,16.532,0.03
60945.174692,16.517,0.027
60945.895737,16.696,0.028
60945.898462,16.682,0.04
60947.166455,16.764,0.035
60947.178417,16.724,0.036
60947.180879,16.704,0.035
60947.200414,16.702,0.032
60948.88691,16.891,0.033
60948.889631,16.88,0.035
60948.921036,16.947,0.039
60948.927373,16.94,0.039
60950.404652,16.993,0.034
60950.40739,17.001,0.039
60950.41473,17.088,0.037
60951.1404,16.98,0.065
60951.174581,17.031,0.066
60951.177836,16.672,0.058
60951.20567,16.935,0.061
60956.419749,17.423,0.079
60956.444999,17.149,0.094
60957.172038,17.287,0.081
60957.175791,17.329,0.074
60957.184463,17.322,0.075
60957.207697,17.37,0.061
60957.918473,17.449,0.064
60957.921642,17.24,0.062
60957.92889,17.201,0.074
60969.003149,17.663,0.077
60969.00498,17.745,0.084
60969.008171,17.719,0.087
60969.013659,17.734,0.083
60975.0848,17.479,0.09
60975.093478,17.817,0.073
60975.096664,17.739,0.089
60975.837821,17.79,0.082
60975.847804,17.762,0.069
60975.858691,17.96,0.099
60978.162072,17.82,0.096
60978.18173,17.821,0.099
60990.818954,18.21,0.094
60992.064767,18.075,0.053
60992.0883,18.139,0.064
60992.092437,18.084,0.057
60992.1217,18.153,0.068
60992.142837,18.201,0.092
60992.163843,18.315,0.079
60992.185013,18.195,0.067
