MJD,mag,mag_err
60989.131204,19.338,0.151
60987.152951,19.283,0.178
60985.170451,19.414,0.247
60985.101829,19.369,0.286
60984.232604,19.138,0.23
60984.192998,19.059,0.226
60982.183183,18.72,0.242
60978.260023,19.101,0.156
60976.331111,19.065,0.173
60974.189491,19.085,0.144
60972.276829,19.024,0.11
60969.347975,18.871,0.141
60967.336076,18.998,0.129
60965.350451,18.71,0.145
60960.275671,18.881,0.102
60957.290127,18.811,0.144
60951.359074,18.521,0.137
60944.333657,18.057,0.054
60942.351956,17.789,0.059
60933.272396,17.012,0.047
60929.303414,16.732,0.047
60927.334595,16.763,0.041
60923.398067,16.772,0.04
60921.283704,17.1,0.047
60919.314722,17.562,0.057
60917.274271,18.453,0.072
