MJD,mag,mag_err
60989.245718,18.422,0.07
60987.099884,18.306,0.064
60978.205093,18.054,0.058
60976.252882,18.029,0.073
60974.25191,18.072,0.069
60972.227384,17.891,0.061
60965.272512,17.757,0.058
60960.316238,17.595,0.056
60957.366563,17.429,0.057
60955.309815,17.402,0.06
60951.231366,17.172,0.036
60949.287558,17.03,0.036
60942.309526,16.431,0.05
60939.294549,16.201,0.045
60935.352465,15.963,0.025
60933.210718,15.891,0.038
60929.357292,15.844,0.031
60927.312037,15.903,0.03
60923.33566,16.164,0.032
60919.336632,16.876,0.031
60917.35787,17.709,0.05
