MJD,mag,dmag
60678.24077,17.556,0.119
60678.31236,17.829,0.159
60679.13196,17.288,0.128
60679.33652,17.693,0.16
60680.45814,17.24,0.103
60680.46197,17.224,0.11
60682.53102,17.176,0.118
60687.35343,16.294,0.149
60691.43148,16.61,0.142
60695.28757,17.105,0.1
60695.32596,17.141,0.11
60695.41867,17.47,0.134
60696.3172,17.244,0.114
60697.38096,17.172,0.125
60699.38752,17.357,0.128
60699.42583,17.234,0.109
60701.24438,17.477,0.143
60703.54981,17.119,0.179
60709.50655,17.426,0.11
60679.592278,17.374,0.04
60679.617359,17.34,0.036
60679.645841,17.347,0.035
60679.665575,17.238,0.037
60681.401931,17.128,0.032
60681.404728,17.162,0.035
60681.440023,17.174,0.029
60681.446063,17.145,0.033
60681.476671,17.186,0.034
60681.479471,17.186,0.034
60681.48471,17.205,0.032
60681.51404,17.133,0.032
60683.547419,17.04,0.029
60683.572106,17.057,0.031
60683.600508,17.023,0.027
60683.625242,17.007,0.024
60685.460829,17.061,0.055
60685.49605,17.085,0.053
60687.500942,16.897,0.077
60687.503862,17.0,0.069
60687.509513,16.998,0.061
60687.541614,16.887,0.079
60687.647082,16.993,0.066
60687.656272,16.997,0.1
60687.669515,16.951,0.058
60687.672775,16.871,0.063
60691.554801,16.889,0.035
60691.580716,16.902,0.04
60691.609267,16.789,0.041
60691.634039,16.881,0.04
60693.344295,16.852,0.029
60693.347069,16.823,0.032
60693.369394,16.854,0.04
60693.373769,16.863,0.039
60693.391293,16.786,0.039
60693.394513,16.803,0.037
60693.429768,16.832,0.037
60693.434881,16.871,0.037
60695.472939,16.778,0.032
60695.47572,16.906,0.037
60695.481344,16.823,0.034
60695.516526,16.82,0.031
60695.57286,16.799,0.03
60695.584048,16.833,0.037
60695.597023,16.903,0.032
60695.603729,16.838,0.033
60697.509919,16.863,0.027
60697.514451,16.874,0.028
60697.52788,16.794,0.027
60697.533254,16.842,0.025
60697.341065,17.162,0.201
60695.200856,17.095,0.035
60695.199815,17.083,0.05
60693.302546,17.024,0.046
60693.262002,17.076,0.035
60683.412685,17.073,0.067
60683.303519,16.937,0.18
60681.223495,17.071,0.046
60680.184757,17.142,0.097
60706.277836,16.74,0.037
60697.435602,16.647,0.253
60693.365995,16.783,0.038
60693.363137,16.762,0.036
60691.402349,16.801,0.044
60687.33015,16.941,0.054
60687.328646,16.916,0.053
60681.264803,17.077,0.044
60680.218715,17.061,0.148
