MJD,mag,dmag
60919.01616,17.558,0.129
60920.94998,17.273,0.152
60921.31281,16.689,0.111
60922.30862,16.833,0.158
60928.75891,17.162,0.147
60929.10902,17.119,0.132
60931.75645,17.329,0.114
60932.32052,17.109,0.105
60932.82118,17.056,0.088
60933.01385,17.477,0.129
60935.28068,17.302,0.122
60940.25635,17.931,0.182
60941.42217,17.978,0.185
60961.40342,17.352,0.109
60962.22959,17.589,0.136
60916.930579,18.269,0.082
60916.935994,18.316,0.097
60916.941017,18.254,0.082
60933.252334,16.386,0.021
60933.255963,16.383,0.019
60933.262938,16.408,0.023
60933.272949,16.391,0.02
60942.23514,17.017,0.037
60942.244606,17.089,0.043
60942.249208,17.092,0.04
60963.858437,18.178,0.076
60963.865533,18.199,0.087
60963.868272,18.242,0.088
60966.85332,18.351,0.088
60966.856489,18.352,0.093
60966.866247,18.224,0.096
60966.871689,18.326,0.089
60968.335757,18.335,0.086
60968.338519,18.446,0.089
60968.358399,18.321,0.092
60969.870231,18.331,0.096
60969.875201,18.405,0.094
60969.895968,18.386,0.091
60972.845847,18.445,0.089
60972.850879,18.617,0.088
60972.854062,18.408,0.093
60918.931685,17.134,0.04
60918.934399,17.116,0.036
60918.939894,17.13,0.037
60918.964821,17.098,0.035
60919.9256,16.776,0.035
60919.928304,16.798,0.032
60919.931017,16.753,0.028
60919.957638,16.782,0.037
60920.423148,16.686,0.028
60920.425909,16.673,0.03
60920.429594,16.667,0.03
60920.456668,16.717,0.027
60920.468217,16.677,0.029
60921.264741,16.524,0.087
60921.26746,16.354,0.064
60921.273363,16.123,0.093
60921.926721,16.295,0.054
60921.928073,16.352,0.052
60921.930812,16.244,0.059
60921.959805,16.414,0.053
60928.44676,15.916,0.024
60928.44953,15.883,0.021
60928.455065,15.84,0.022
60928.4894,15.831,0.021
60931.047715,15.846,0.019
60931.06092,15.829,0.017
60931.089193,15.853,0.018
60931.101741,15.82,0.02
60932.450986,15.858,0.014
60932.453742,15.84,0.014
60932.458814,15.813,0.014
60932.494595,15.842,0.013
60936.966675,16.034,0.017
60936.970282,15.986,0.016
60936.991727,16.018,0.016
60937.019618,16.038,0.017
60942.913839,16.407,0.019
60942.91655,16.409,0.023
60942.921514,16.427,0.023
60943.363625,16.452,0.021
60943.364994,16.475,0.022
60943.387875,16.426,0.021
60943.403971,16.502,0.02
60945.16457,16.532,0.03
60945.174692,16.517,0.027
60945.895737,16.696,0.028
60945.898462,16.682,0.04
60947.166455,16.764,0.035
60947.178417,16.724,0.036
60947.180879,16.704,0.035
60947.200414,16.702,0.032
60948.88691,16.891,0.033
60948.889631,16.88,0.035
60948.921036,16.947,0.039
60948.927373,16.94,0.039
60950.404652,16.993,0.034
60950.40739,17.001,0.039
60950.41473,17.088,0.037
60951.1404,16.98,0.065
60951.174581,17.031,0.066
60951.177836,16.672,0.058
60951.20567,16.935,0.061
60956.419749,17.423,0.079
60956.444999,17.149,0.094
60957.172038,17.287,0.081
60957.175791,17.329,0.074
60957.184463,17.322,0.075
60957.207697,17.37,0.061
60957.918473,17.449,0.064
60957.921642,17.24,0.062
60957.92889,17.201,0.074
60969.003149,17.663,0.077
60969.00498,17.745,0.084
60969.008171,17.719,0.087
60969.013659,17.734,0.083
60975.0848,17.479,0.09
60975.093478,17.817,0.073
60975.096664,17.739,0.089
60975.837821,17.79,0.082
60975.847804,17.762,0.069
60975.858691,17.96,0.099
60978.162072,17.82,0.096
60978.18173,17.821,0.099
60990.818954,18.21,0.094
60992.064767,18.075,0.053
60992.0883,18.139,0.064
60992.092437,18.084,0.057
60992.1217,18.153,0.068
60992.142837,18.201,0.092
60992.163843,18.315,0.079
60992.185013,18.195,0.067
60916.61069,18.818,0.068
60915.522834,19.22,0.14
60989.131204,19.338,0.151
60987.152951,19.283,0.178
60985.170451,19.414,0.247
60985.101829,19.369,0.286
60984.232604,19.138,0.23
60984.192998,19.059,0.226
60982.183183,18.72,0.242
60978.260023,19.101,0.156
60976.331111,19.065,0.173
60974.189491,19.085,0.144
60972.276829,19.024,0.11
60969.347975,18.871,0.141
60967.336076,18.998,0.129
60965.350451,18.71,0.145
60960.275671,18.881,0.102
60957.290127,18.811,0.144
60951.359074,18.521,0.137
60944.333657,18.057,0.054
60942.351956,17.789,0.059
60933.272396,17.012,0.047
60929.303414,16.732,0.047
60927.334595,16.763,0.041
60923.398067,16.772,0.04
60921.283704,17.1,0.047
60919.314722,17.562,0.057
60917.274271,18.453,0.072
60989.245718,18.422,0.07
60987.099884,18.306,0.064
60978.205093,18.054,0.058
60976.252882,18.029,0.073
60974.25191,18.072,0.069
60972.227384,17.891,0.061
60965.272512,17.757,0.058
60960.316238,17.595,0.056
60957.366563,17.429,0.057
60955.309815,17.402,0.06
60951.231366,17.172,0.036
60949.287558,17.03,0.036
60942.309526,16.431,0.05
60939.294549,16.201,0.045
60935.352465,15.963,0.025
60933.210718,15.891,0.038
60929.357292,15.844,0.031
60927.312037,15.903,0.03
60923.33566,16.164,0.032
60919.336632,16.876,0.031
60917.35787,17.709,0.05
