MJD,mag,mag_err
60527.82376,14.493,0.021
60528.22977,14.273,0.018
60528.84615,14.383,0.02
60529.81347,14.254,0.019
60530.22642,14.283,0.018
60531.22313,14.266,0.018
60532.22058,14.296,0.019
60533.21668,14.262,0.018
60534.21316,14.306,0.019
60536.20064,14.338,0.023
60543.9911,14.483,0.02
60546.01454,14.570,0.021
60547.02607,14.616,0.022
60548.0723,14.626,0.022
60549.07872,14.689,0.022
60550.15701,14.767,0.024
60552.91748,15.003,0.027
60554.14142,14.803,0.024
60555.14826,14.870,0.026
60556.05092,14.879,0.025
60557.07071,14.943,0.026
60560.02564,14.973,0.026
60561.08328,15.010,0.026
60568.06608,15.161,0.042
60578.98246,15.522,0.038
60581.0489,15.402,0.036
60583.02922,15.476,0.032
60586.05376,15.604,0.034
60587.06561,15.575,0.034
60590.79327,15.756,0.044
60593.03348,15.709,0.057
60595.75171,15.790,0.069
60601.77383,16.491,0.097
60603.00782,16.047,0.049
60604.0079,16.070,0.046
60605.00834,16.277,0.054
60606.01671,16.003,0.041
60608.01159,16.597,0.058
