MJD,mag,mag_err
60528.114122,14.136,0.004
60528.117334,14.126,0.004
60528.135068,14.147,0.004
60532.17645,14.092,0.004
60532.179725,14.099,0.004
60532.185264,14.066,0.006
60532.197576,14.075,0.004
60553.866152,14.516,0.005
60553.894748,14.506,0.005
60553.898421,14.511,0.005
60553.911006,14.522,0.005
60576.04859,14.932,0.007
60576.051579,14.92,0.006
60576.056853,14.927,0.007
60576.066876,14.925,0.007
60587.993887,15.129,0.025
60587.997171,15.078,0.021
60588.002291,15.113,0.021
60588.014559,15.139,0.008
