MJD,mag,mag_err
60525.850284,14.351,0.005
60525.853994,14.331,0.005
60525.859519,14.349,0.005
60525.86963,14.353,0.006
60529.835951,14.063,0.004
60529.838727,14.076,0.004
60529.844258,14.065,0.004
60529.854774,14.067,0.004
60536.085598,14.094,0.005
60536.090962,14.104,0.005
60536.094152,14.093,0.005
60536.104981,14.105,0.005
60537.840466,14.096,0.006
60537.843626,14.129,0.006
60537.84994,14.108,0.009
60537.871913,14.104,0.01
60541.847658,14.115,0.006
60541.850831,14.12,0.007
60541.861259,14.156,0.007
60541.86806,14.135,0.007
60544.053593,14.138,0.005
60544.057197,14.154,0.005
60544.072644,14.143,0.005
60544.08916,14.142,0.005
60545.809577,14.128,0.005
60545.812732,14.145,0.005
60545.820172,14.124,0.005
60545.830684,14.128,0.005
60547.984127,14.157,0.005
60547.987282,14.164,0.005
60547.99359,14.155,0.004
60552.016121,14.249,0.005
60552.019324,14.26,0.005
60552.028429,14.24,0.005
60553.025794,14.216,0.005
60553.029841,14.239,0.005
60553.045208,14.243,0.005
60553.064076,14.248,0.005
60556.038021,14.306,0.005
60556.043363,14.286,0.005
60556.046122,14.296,0.005
60556.058978,14.275,0.005
60556.064848,14.289,0.005
60556.068003,14.28,0.005
60556.076405,14.272,0.005
60556.086777,14.28,0.005
60560.054787,14.295,0.006
60560.058491,14.178,0.005
60560.064495,14.283,0.005
60560.083727,14.31,0.006
60564.049868,14.341,0.013
60564.053756,14.249,0.018
60564.061074,14.323,0.009
60564.07409,14.148,0.006
60565.756817,14.362,0.008
60565.776589,14.379,0.008
60565.780237,14.371,0.008
60565.786216,14.357,0.007
60568.0581,14.212,0.007
60568.061329,14.196,0.007
60568.073912,14.204,0.007
60568.089736,14.207,0.007
60569.781944,14.415,0.008
60569.795424,14.417,0.008
60569.799166,14.384,0.009
60569.804386,14.392,0.008
60573.735205,14.446,0.006
60573.739034,14.453,0.006
60573.745009,14.459,0.006
60573.755383,14.43,0.006
60577.736583,14.481,0.007
60577.740405,14.466,0.006
60577.747744,14.484,0.007
60577.757517,14.49,0.006
60593.763999,14.717,0.018
60593.767215,14.715,0.008
60593.7727,14.71,0.013
60593.7953,14.717,0.026
